"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"											
	1963	3	17			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3432	"Stratovolcano"
	1963	3	18	1942		"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"
	1963	5	5			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1963	5	16		4292	"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"
	1963	5	21			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"
	1963	9	5			"Batur"	"Lesser Sunda Is"	"Indonesia"	-8.242	115.375	1717	"Caldera"
	1963	9	28			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"
	1963	12	10			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3432	"Stratovolcano"
	1964	1	1			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"
	1964	3	3			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"
	1964	12	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"
	1965	9	28	1977		"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"
	1965	10	24	5695		"Kick 'em Jenny"	"W Indies"	"Netherlands"	12.3	-61.64	-185	"Submarine volcano"
	1966	1	13	5478		"Tinakula"	"Santa Cruz Is-SW Pac"	"Solomon Is."	-10.386	165.804	796	"Stratovolcano"
	1966	4	26			"Kelut"	"Java"	"Indonesia"	-7.93	112.308	1731	"Stratovolcano"
	1966	8	12			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"
	1966	8	14			"Lengai, Ol Doinyo"	"Africa-E"	"Tanzania"	-2.764	35.914	2962	"Stratovolcano"
	1967	7	8			"Lengai, Ol Doinyo"	"Africa-E"	"Tanzania"	-2.764	35.914	2962	"Stratovolcano"
	1967	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1967	11	4			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"
	1967	12	4	1992		"Deception Island"	"Antarctica"	"Antarctica"	-63.001	-60.652	602	"Caldera"
	1968	4	21			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"
	1968	7	29			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"
	1969	1	7			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1969	1	28			"Iya"	"Lesser Sunda Is"	"Indonesia"	-8.891	121.641	618	"Stratovolcano"
	1969	3	21	2872		"Didicas"	"Luzon-N of"	"Philippines"	19.077	122.202	228	"Compound volcano"
	1969	8	26			"Naruko"	"Honshu-Japan"	"Japan"	38.729	140.734	470	"Caldera"
	1970	3	2			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"
	1970	5	5			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"
	1971	8	12			"Hudson, Cerro"	"Chile-S"	"Chile"	-45.9	-72.97	1905	"Stratovolcano"
	1971	9	6	2043		"Tinakula"	"Santa Cruz Is-SW Pac"	"Solomon Is."	-10.386	165.804	796	"Stratovolcano"
	1971	9	14			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"
	1971	10	28			"La Palma"	"Canary Is"	"Spain"	28.57	-17.83	2426	"Stratovolcano"
	1971	10	29			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"
	1971	12	27			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"
	1972	6	9			"Fournaise, Piton de la"	"Indian O-W"	"Reunion"	-21.244	55.708	2632	"Shield volcano"
	1972	10	2			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"
	1972	10	9	2054		"Ritter Island"	"New Guinea-NE of"	"Papua New Guinea"	-5.519	148.115	75	"Stratovolcano"
	1973	1	27			"Vestmannaeyjar"	"Iceland-S"	"Iceland"	63.416	-20.266	283	"Submarine volcano"
	1973	1				"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"
	1973	4	5			"Hudson, Cerro"	"Chile-S"	"Chile"	-45.9	-72.97	1905	"Stratovolcano"
	1973	12		5761		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.53	123.57	1018	"Complex volcano"
	1974	2	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"
	1974	6	17			"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"
	1974	7	28			"Niigata-Yakeyama"	"Honshu-Japan"	"Japan"	36.921	138.036	2400	"Lava dome"
	1974	8	9			"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"
	1974	10	10			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"
	1974	10	17	2069		"Ritter Island"	"New Guinea-NE of"	"Papua New Guinea"	-5.519	148.115	75	"Stratovolcano"
	1974	10	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1975	1				"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"
	1975	6	17			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"
	1975	11	29	2080	4704	"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"
	1976	8	3			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"
	1976	8	12			"Sangay"	"Ecuador"	"Ecuador"	-2.005	-78.341	5286	"Stratovolcano"
	1976	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1976	9	15			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"
	1976	11	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1977	1	10			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"
	1977	4	5			"Karthala"	"Indian O-W"	"Comoros"	-11.75	43.38	2361	"Shield volcano"
	1977	4	27			"Krafla"	"Iceland-NE"	"Iceland"	65.715	-16.728	800	"Caldera"
	1977	8	2			"Klyuchevskoy"	"Kamchatka"	"Russia"	56.056	160.642	4754	"Stratovolcano"
	1977	8	7			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"
	1978	7	29			"Bulusan"	"Luzon-Philippines"	"Philippines"	12.769	124.056	1535	"Stratovolcano"
	1978	9	2			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"
	1978	9	19			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1978	10	24			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"
	1978					"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"
	1979	2	20			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"
	1979	3	8			"Karkar"	"New Guinea-NE of"	"Papua New Guinea"	-4.649	145.964	1839	"Stratovolcano"
	1979	4	13			"Soufriere St. Vincent"	"W Indies"	"St. Vincent & the Grenadines"	13.33	-61.18	1220	"Stratovolcano"
	1979	7	5			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1979	7	18	2115		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.53	123.57	1018	"Complex volcano"
	1979	9	6			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1980	5	18	3018	4876	"St. Helens"	"US-Washington"	"United States"	46.2	-122.18	2549	"Stratovolcano"
	1980	8	17			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"
	1980	12	25			"Hood"	"US-Oregon"	"United States"	45.374	-121.695	3426	"Stratovolcano"
	1981	3	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1981	3	29			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1981	4	27			"Alaid"	"Kuril Is"	"Russia"	50.861	155.565	2285	"Stratovolcano"
	1981	5	14			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1981	6	30			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"
	1981	9	5			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"
	1981	10	20	5759		"Krakatau"	"Indonesia"	"Indonesia"	-6.102	105.423	155	"Caldera"
	1981					"Vilyuchik"	"Kamchatka"	"Russia"	52.7	158.28	2173	"Stratovolcano"
	1982	3	29		7221	"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"
	1982	4	4			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"
	1982	5	17			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"
	1982	5	27			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"
	1983	3	8			"Klyuchevskoy"	"Kamchatka"	"Russia"	56.056	160.642	4754	"Stratovolcano"
	1983	7	23			"Colo"	"Sulawesi-Indonesia"	"Indonesia"	-0.162	121.601	404	"Stratovolcano"
	1983	8	17	4702		"Iliwerung"	"Lesser Sunda Is"	"Indonesia"	-8.53	123.57	1018	"Complex volcano"
	1983	10	3		4990	"Miyakejima"	"Izu Is-Japan"	"Japan"	34.094	139.526	775	"Stratovolcano"
	1984	6	13	2154	6652	"Sumisujima"	"Izu Is-Japan"	"Japan"	31.44	140.051	136	"Submarine volcano"
	1984	8	15	5807		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"
	1984	9	9			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"
	1984	9	14			"Ontakesan"	"Honshu-Japan"	"Japan"	35.893	137.48	3067	"Complex volcano"
	1984	10	16			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1985	5	10			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1985	11	13			"Ruiz, Nevado del"	"Colombia"	"Colombia"	4.892	-75.324	5279	"Stratovolcano"
	1985	12	19			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1986	5	8			"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"
	1986	7	24			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"
	1986	8	21	5808		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"
	1986	10	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1986	11	15			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	758	"Stratovolcano"
	1987	1	25			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"
	1987	4	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1987	12	1		5150	"Sirung"	"Lesser Sunda Is"	"Indonesia"	-8.508	124.13	862	"Complex volcano"
	1988	5	9			"Banda Api"	"Banda Sea"	"Pacific Ocean"	-4.523	129.881	596	"Caldera"
	1988	7	6			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"
	1988	7	30			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1988	12	25			"Lonquimay"	"Chile-C"	"Chile"	-38.379	-71.586	2832	"Stratovolcano"
	1988					"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"
	1989	2	12			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1989	8	26			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"
	1990	2	2			"Sheveluch"	"Kamchatka"	"Russia"	56.653	161.36	3283	"Stratovolcano"
	1990	2	10			"Kelut"	"Java"	"Indonesia"	-7.93	112.308	1731	"Stratovolcano"
	1990	3	26			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1990	4	18			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1990	5	29			"Coropuna"	"Peru"	"Peru"	-15.52	-72.65	6377	"Stratovolcano"
	1990	6	24			"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"
	1990	7	19			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"
	1990	10	19			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1990	11	21			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"
	1990	11	25			"Kelut"	"Java"	"Indonesia"	-7.93	112.308	1731	"Stratovolcano"
	1991	6	3			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"
	1991	6	15		5292	"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"
	1991	6				"Mutnovsky"	"Kamchatka"	"Russia"	52.449	158.196	2288	"Complex volcano"
	1991	7	3			"Karthala"	"Indian O-W"	"Comoros"	-11.75	43.38	2361	"Shield volcano"
	1991	8	8			"Hudson, Cerro"	"Chile-S"	"Chile"	-45.9	-72.97	1905	"Stratovolcano"
	1991	10	24			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"
	1991	12	14			"Etna"	"Italy"	"Italy"	37.748	14.999	3320	"Stratovolcano"
	1992	1	21			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"
	1992	3	18			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"
	1992	4	10			"Negro, Cerro"	"Nicaragua"	"Nicaragua"	12.506	-86.702	728	"Cinder cone"
	1992	5	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"
	1992	7	5			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"
	1992	7	12			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"
	1992	9	17			"Spurr"	"Alaska-SW"	"United States"	61.299	-152.251	3374	"Stratovolcano"
	1992					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1993	1	14			"Galeras"	"Colombia"	"Colombia"	1.22	-77.37	4276	"Complex volcano"
	1993	1	21			"Wurlali"	"Banda Sea"	"Indonesia"	-7.125	128.675	868	"Stratovolcano"
	1993	2	2			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"
	1993	3	12			"Guagua Pichincha"	"Ecuador"	"Ecuador"	-0.171	-78.598	4784	"Stratovolcano"
	1993	4	19			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"
	1993	6	13			"Krakatau"	"Indonesia"	"Indonesia"	-6.102	105.423	155	"Caldera"
	1993	6	23			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"
	1993	6	26			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"
	1993	10	4			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"
	1994	1	15			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"
	1994	2	3			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"
	1994	5	29			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"
	1994	6	6		5387	"Huila, Nevado del"	"Colombia"	"Colombia"	2.93	-76.03	5364	"Stratovolcano"
	1994	9	19	2229		"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"
	1994	11	3			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"
	1994	11	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"
	1995	2	4			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"
